location,eventId,field,excerpt,classification
"event","campaign_budget_arbitration","summary","Le trésorier fictif vous présente un déficit prévisionnel : maintenir tous les déplacements épuiserait les réserves avant le premier tour. Il faut réduire un po…","à reformuler"
"event","media_fictional_editorial_support","summary","Gabriel Valès, polémiste fictif engagé dans la campagne de Reconquête, salue publiquement votre proposition sur la liberté d’expression. Son appui offre de l’au…","à reformuler"
"event","media_open_microphone","summary","Après une interview sur France 2, un micro capte votre remarque sèche sur Anaïs Vercel, directrice de campagne fictive : vous dites que son organisation « ne ti…","à reformuler"
"event","media_prime_time_invite","summary","Un adversaire fictif annule sa venue au journal de TF1. La rédaction vous offre l’entretien de vingt minutes, sans thème négocié et avec deux heures de préparat…","à reformuler"
"event","debate_security_round","summary","Le débat de premier tour aborde les violences du quotidien. Une maire fictive décrit des agressions autour d’une gare et demande une mesure applicable cet été. …","à reformuler"
"event","debate_duel_interruption","summary","Pendant un duel économique, votre adversaire fictif vous coupe quatre fois et transforme l’échange en brouhaha. La modératrice intervient sans parvenir à rétabl…","à reformuler"
"event","internal_congress_motion","summary","Quarante cadres fictifs demandent un congrès extraordinaire avant le premier tour pour clarifier la ligne économique. Le tenir donne une voix aux désaccords ; l…","à reformuler"
"event","internal_rival_interview","summary","Dans Le Figaro, un responsable fictif de votre parti affirme que votre proposition fiscale n’est pas la position collective. Il ne remet pas votre candidature e…","à reformuler"
"event","internal_financial_review","summary","La revue mensuelle menée par Maud Keravel, trésorière fictive, relève trois factures sans justificatif complet. Rien ne prouve une irrégularité, mais leur rembo…","à reformuler"
"event","internal_volunteer_conflict","summary","Dans la métropole lyonnaise, l’équipe numérique veut concentrer les bénévoles sur une opération vidéo tandis que les sections demandent du porte-à-porte. Les éc…","à reformuler"
"event","internal_spokesperson_mistake","summary","Une porte-parole fictive présente comme arbitrée une baisse de cotisations encore discutée. Les chaînes reprennent déjà le montant et vos partenaires attendent …","à reformuler"
"choice","internal_strategy_leak","strategy_leak_publish.label","Publier la note entière, identifier son auteur fictif et confirmer les options finalement écartées","à reformuler"
"event","internal_primary_debt","summary","Pour obtenir un soutien décisif lors de la primaire fictive, vous aviez promis à un courant la responsabilité du programme social. Ce courant réclame maintenant…","à reformuler"
"event","internal_major_donor","summary","Un entrepreneur fictif ayant versé un don dans les limites légales sollicite une rencontre privée sur votre fiscalité. Le rendez-vous est autorisé, mais son cal…","à reformuler"
"event","alliance_fictional_celebrity","summary","Nina Sorel, artiste fictive à forte audience, propose de chanter lors d’un meeting consacré à la jeunesse. Elle refuse tout cachet mais souhaite prononcer un di…","à reformuler"
"event","alliance_former_rival","summary","Ilyes Marceau, rival fictif de la primaire du PS, propose de rejoindre la campagne à condition de piloter les déplacements industriels. Il dispose d’un réseau m…","à reformuler"
"event","alliance_udr_autonomy","summary","Louis Ferran, cadre fictif allié au RN, demande que son courant dispose de sa propre affiche et de dix investitures promises après la présidentielle. Il menace …","à reformuler"
"event","alliance_strategic_withdrawal","summary","Nouvelle Énergie propose de retirer sa candidature fictive et de vous soutenir si vous reprenez trois mesures de décentralisation. Le mouvement demande aussi un…","à reformuler"
"event","scandal_treasurer_invoices","summary","Mediapart révèle que trois factures de la campagne ont été payées avec des justificatifs incomplets. Maud Keravel, trésorière fictive, affirme que les prestatio…","à reformuler"
"event","scandal_consultant_contract","summary","Après son départ, Léonard Pujol diffuse son contrat de conseil fictif. Une clause prévoit une prime si la campagne dépasse un seuil de voix, mécanisme légal dan…","à reformuler"
"event","scandal_local_expenses","summary","Samira Bellon, élue locale fictive, a transmis au parti des frais mêlant un déplacement de campagne et une réunion municipale. La somme est faible, mais la fron…","à reformuler"
"event","scandal_supplier_overbilling","summary","Étienne Marot, fournisseur fictif, a facturé deux fois le transport d’un lot d’affiches. Il parle d’une erreur automatique et propose un avoir immédiat. Le dire…","à reformuler"
"event","scandal_donation_route","summary","La banque de la campagne demande des précisions sur un don fictif reçu après deux virements intermédiaires. Le montant respecte le plafond, mais l’origine écono…","à reformuler"
"outcome","scandal_donation_route","donation_route_verify.donation_route_escrow.publicNarrative","Les pièces établissent après quelques jours l’identité et les revenus du donateur fictif. Vous pouvez conserver le montant, mais la campagne n’a pas pu le dépen…","à reformuler"
"choice","scandal_plagiarized_report","plagiarized_report_author.label","Suspendre la responsable fictive de la note et commander une revue de tous les documents publiés","à reformuler"
"event","scandal_family_hire","summary","Anaïs Vercel, directrice de campagne fictive, a recruté son frère comme développeur pour une mission de trois semaines. Le tarif correspond au marché et le trav…","à reformuler"
"outcome","scandal_family_hire","family_hire_defend.family_hire_defended.publicNarrative","Les preuves de travail empêchent de parler d’emploi fictif, mais votre refus de modifier la procédure laisse le conflit d’intérêts intact. La loyauté envers Ana…","à reformuler"
"event","scandal_false_resume","summary","Votre responsable fictif de la transition énergétique a indiqué avoir dirigé un programme européen alors qu’il n’en était que coordinateur adjoint. Son expertis…","à reformuler"
"event","world_economic_slowdown","summary","Dans la chronologie fictive de la partie, l’Insee publie un indicateur signalant deux trimestres de stagnation. Les entreprises retardent leurs investissements …","à reformuler"
"event","world_floods","summary","Dans un épisode fictif de la campagne, des inondations touchent plusieurs communes de Nouvelle-Aquitaine. Les secours sont engagés et aucun bilan humain n’est e…","à reformuler"
"event","world_security_attack","summary","Dans ce scénario fictif sensible, une attaque commise par une personne non identifiée fait plusieurs blessés dans un lieu public. L’enquête débute et les autori…","à reformuler"
"event","world_international_crisis","summary","Dans la géopolitique fictive de la partie, une confrontation entre navires chinois et américains ferme temporairement une route commerciale en Asie. La France n…","à reformuler"
"event","world_heatwave","summary","Dans la météo fictive de la campagne, une canicule durable atteint Lyon et plusieurs départements voisins. Les écoles ferment l’après-midi, les hôpitaux activen…","à reformuler"
"event","world_industrial_closure","summary","Dans l’économie fictive de la partie, une aciérie du Grand Est annonce huit cents suppressions d’emplois après la perte d’un contrat européen. La direction cher…","à reformuler"
"event","world_housing_protest","summary","Dans un épisode fictif à Marseille, des associations installent des tentes autour de la préfecture pour demander des solutions d’hébergement et des logements pé…","à reformuler"
"event","world_european_vote","summary","Dans le calendrier fictif, un vote du Conseil européen sur un fonds industriel échoue à une voix. L’Allemagne et la Pologne ont défendu des compromis différents…","à reformuler"
"event","world_budget_warning","summary","Dans la trajectoire fictive de la partie, la Cour des comptes publie un rapport sur la dégradation du déficit public. Le document ne juge aucun programme présid…","à reformuler"
"event","rare_printer_slogan","summary","Un lot de cinquante mille tracts transforme par erreur « la France en commun » en une formule grammaticalement étrange. Les premières photographies circulent dé…","à reformuler"
"event","rare_parrot_quote","summary","Au marché de Nice, le perroquet d’un commerçant fictif répète distinctement les quatre derniers mots de votre slogan devant les caméras. La scène est authentiqu…","à reformuler"
"event","rare_exceptional_powers","summary","Une crise institutionnelle fictive pousse plusieurs commentateurs à vous demander si vous utiliseriez l’article 16 de la Constitution. Les conditions juridiques…","à reformuler"
"event","rare_fragmented_congress","summary","Une projection fictive des législatives ne donne de majorité à aucun bloc et répartit l’Assemblée nationale entre neuf groupes. Les journalistes vous demandent …","à reformuler"
"event","rare_national_union","summary","Après une combinaison fictive de crise énergétique et de tensions internationales, plusieurs partis proposent un accord limité à six mois sur l’approvisionnemen…","à reformuler"
"event","rare_civil_suspension","summary","Après plusieurs semaines sans repos, le médecin fictif de la campagne diagnostique une extinction de voix et exige trois jours de silence complet. Aucun problèm…","à reformuler"
"event","rare_powers_guardrails_tested","summary","Une association de juristes fictive vous demande de préciser, par écrit, la procédure exacte de consultation du Conseil constitutionnel que vous aviez promise s…","à reformuler"
"event","party_lfi_fronde","summary","Nassim Courbet, député fictif de LFI, juge que la campagne parle trop d’institutions et pas assez de salaires. Il réunit plusieurs groupes d’action et demande q…","à reformuler"
