eventId,title,category,rarity,occurrences,meanIntensity,meanAbsPollDelta,choiceEntropyNormalized,dominantChoiceShare,isChain,isRare,compositeScore,grade,frequencyShare,classification,powerClass
rare_fragmented_congress,Neuf groupes rendent la majorité incertaine,rare,rare,90,6,0.85,0.909,0.511,true,true,74.4,S,0.0556,exceptionnel,pas_assez_puissant
rare_exceptional_powers,Le débat sur les pouvoirs exceptionnels,rare,rare,90,6,0.75,0.895,0.5,true,true,73.4,S,0.0556,exceptionnel,pas_assez_puissant
rare_national_union,Une coalition de crise est proposée,rare,legendary,31,6,2.07,0.807,0.484,true,true,72.7,S,0.0191,exceptionnel,calibre
rare_debate_blackout,Le studio plonge dans le noir,rare,rare,21,6,0.6,0.942,0.476,true,true,70.1,S,0.013,exceptionnel,pas_assez_puissant
rare_hologram_revolt,Le double numérique refuse de démarrer,rare,rare,93,5,1,0.991,0.376,false,true,66.8,A,0.0574,memorable,calibre
rare_crown_petition,Une pétition monarchiste atteint le million,rare,legendary,25,4.6,1.28,0.957,0.48,false,true,62.7,A,0.0154,memorable,calibre
rare_parrot_quote,Un perroquet répète votre slogan,rare,legendary,24,4.75,0.68,0.946,0.5,false,true,59.4,A,0.0148,memorable,pas_assez_puissant
rare_civil_suspension,Votre voix ne tient plus,rare,rare,37,6,0.87,0.834,0.486,false,true,58.4,A,0.0228,memorable,pas_assez_puissant
rare_printer_slogan,Une apostrophe change le slogan,rare,rare,89,4.9,0.38,0.859,0.506,false,true,58.2,A,0.0549,memorable,pas_assez_puissant
party_horizons_rare,Des maires lancent leur propre primaire,party,rare,2,6,0.71,1,0.5,false,true,56.5,A,0.0012,trop_rare,pas_assez_puissant
party_reconquete_rare,Un réseau de cadres propose une fusion,party,rare,9,6,0.2,0.991,0.556,false,true,55.7,A,0.0056,trop_rare,pas_assez_puissant
party_nouvelle_energie_rare,Un financement participatif dépasse les attentes,party,rare,9,6,0.13,0.991,0.556,false,true,55.4,A,0.0056,trop_rare,pas_assez_puissant
party_rn_dissidence,Un courant identitaire prépare sa candidature,party,rare,9,6,2.23,0.503,0.889,true,true,54.2,B,0.0056,trop_rare,calibre
party_renaissance_rare,Des anciens ministres publient leur manifeste,party,rare,8,6,0.03,0.954,0.625,false,true,53.1,B,0.0049,trop_rare,pas_assez_puissant
