eventId,title,category,rarity,occurrences,meanIntensity,meanAbsPollDelta,choiceEntropyNormalized,dominantChoiceShare,isChain,isRare,compositeScore,grade
rare_fragmented_congress,Neuf groupes rendent la majorité incertaine,rare,rare,90,6,0.85,0.909,0.511,true,true,74.4,S
party_ps_crisis_followup,La contribution fiscale revient devant le parti,party,uncommon,43,5,1.84,0.99,0.558,true,false,74.2,S
party_renaissance_generation_payoff,Une figure de la nouvelle génération sort du cadre,party,uncommon,2,6,3.89,1,0.5,true,false,73.7,S
rare_exceptional_powers,Le débat sur les pouvoirs exceptionnels,rare,rare,90,6,0.75,0.895,0.5,true,true,73.4,S
party_nouvelle_energie_fronde,Raphaël Ternois pousse à la fusion,party,common,62,5,1.63,0.988,0.565,true,false,73.3,S
party_reconquete_fronde,Hélène Saint-Cyr refuse l’élargissement,party,common,68,5,1.64,0.977,0.588,true,false,72.8,S
rare_national_union,Une coalition de crise est proposée,rare,legendary,31,6,2.07,0.807,0.484,true,true,72.7,S
party_lr_crisis_followup,Les fédérations exigent un vote de ligne,party,uncommon,48,5,1.12,0.999,0.521,true,false,71.6,S
party_renaissance_crisis_followup,Les élus du bilan demandent réparation,party,uncommon,43,5,1.13,0.99,0.558,true,false,71.3,S
party_nouvelle_energie_crisis_followup,La négociation de fusion arrive au vote,party,uncommon,41,5,1.08,0.989,0.561,true,false,71,S
media_economic_morning,Le chiffrage de la matinale,media,common,118,5,0.94,0.995,0.381,true,false,70.7,S
party_ecologistes_crisis_followup,La ligne énergétique revient au congrès,party,uncommon,46,5,0.98,0.988,0.565,true,false,70.5,S
party_reconquete_crisis_followup,Les comités de Saint-Cyr se coordonnent,party,uncommon,40,5,0.87,0.993,0.55,true,false,70.3,S
debate_economy_round,Le duel sur les huit milliards,debate,common,167,6,1.06,0.971,0.335,true,false,70.1,S
internal_strategy_leak,La note sur le vote utile fuite,internal,common,212,5,0.83,0.993,0.387,true,false,70.1,S
party_lfi_fronde,Nassim Courbet réclame une ligne plus sociale,party,common,59,5,0.93,0.983,0.424,true,false,70.1,S
rare_debate_blackout,Le studio plonge dans le noir,rare,rare,21,6,0.6,0.942,0.476,true,true,70.1,S
party_ps_fronde,Élise Marceau conteste la synthèse,party,common,65,5,1.33,0.937,0.646,true,false,69.7,A
media_documentary_access,La caméra derrière la porte,media,common,145,3.03,0.95,0.962,0.462,true,false,69.3,A
party_horizons_founder_challenge,Paul Auriac demande qui décide vraiment,party,common,98,5,0.96,0.952,0.49,true,false,68.9,A
party_horizons_crisis_followup,Le mandat de négociation arrive à échéance,party,uncommon,40,5,0.51,0.993,0.55,true,false,68.8,A
party_rn_crisis_followup,Le courant Ferran teste la discipline,party,uncommon,52,5,0.63,0.973,0.596,true,false,68.4,A
party_ecologistes_fronde,Maud Lestang rouvre le débat nucléaire,party,common,61,5,0.67,0.956,0.623,true,false,67.8,A
party_renaissance_legacy_test,Le bilan face aux chiffres,party,common,32,6,0.78,0.971,0.406,true,false,66.9,A
rare_hologram_revolt,Le double numérique refuse de démarrer,rare,rare,93,5,1,0.991,0.376,false,true,66.8,A
party_renaissance_fronde,Salomé Varenne défend le bilan,party,common,52,5,0.56,0.931,0.654,true,false,66.2,A
media_fact_check_followup,Le coût passe au crible,media,common,49,5,0.32,0.949,0.408,true,false,66.1,A
rare_national_union_expires,Les six mois d’union nationale s’achèvent,rare,uncommon,13,6,1.42,0.995,0.385,true,false,65.9,A
party_lfi_crisis_followup,La fronde sociale exige un vote,party,common,53,6,1.27,0.855,0.472,true,false,65.8,A
alliance_udr_autonomy,Un allié du RN revendique sa marque,alliance,common,33,5,1.19,0.89,0.455,true,false,65.3,A
scandal_treasurer_invoices,Les factures sans pièce ressortent,scandal,common,253,6,0.87,0.877,0.462,true,false,65.1,A
party_lr_fronde,Diane Mérande veut négocier à droite,party,common,76,5,1.64,0.79,0.763,true,false,64.4,A
scandal_audit_conclusion,L’audit clôt le dossier des factures,scandal,common,176,5,0.84,0.862,0.54,true,false,64.3,A
party_rn_fronde,Louis Ferran refuse la modération,party,common,75,5,1.17,0.817,0.747,true,false,63.6,A
internal_financial_review,Le contrôle interne signale trois factures,internal,common,337,5,0.41,0.88,0.546,true,false,63.3,A
party_horizons_fronde,Théo Lagrive réclame un accord central,party,common,65,5,0.44,0.872,0.708,true,false,63.1,A
rare_crown_petition,Une pétition monarchiste atteint le million,rare,legendary,25,4.6,1.28,0.957,0.48,false,true,62.7,A
rare_powers_guardrails_tested,Les garde-fous promis sont pris au mot,rare,uncommon,20,5,0.82,0.934,0.65,true,false,62.5,A
media_past_words,Une promesse revient au montage,media,uncommon,76,5,1.06,0.8,0.658,true,false,62.4,A
party_lr_signature,La sécurité du quotidien exige des moyens,party,common,67,5,1.82,0.98,0.582,false,false,61.7,A
alliance_strategic_withdrawal,Nouvelle Énergie propose un retrait,alliance,common,60,6,1.46,1,0.5,false,false,61.1,A
party_reconquete_program_dilemma,La souveraineté économique cherche ses instruments,party,common,68,5,1.55,0.99,0.559,false,false,61,A
party_renaissance_legacy_confronted,Les deux écarts reviennent en boucle,party,uncommon,7,5,1.99,0.863,0.714,true,false,60.9,A
party_renaissance_program_dilemma,La réforme des retraites revient,party,common,70,6,1.81,0.94,0.643,false,false,59.9,A
rare_blackout_leak_resurfaces,La coulisse du blackout ressort,rare,uncommon,5,5,0.69,0.971,0.6,true,false,59.8,A
