eventId,title,category,rarity,occurrences,meanIntensity,meanAbsPollDelta,choiceEntropyNormalized,dominantChoiceShare,isChain,isRare,compositeScore,grade,valueBucket
scandal_treasurer_invoices,Les factures sans pièce ressortent,scandal,common,240,6,0.91,0.89,0.45,true,false,65.9,A,interessant
scandal_audit_conclusion,L’audit clôt le dossier des factures,scandal,common,192,5,0.86,0.859,0.536,true,false,64.2,A,interessant
scandal_false_resume,Une ligne du CV est fausse,scandal,common,275,3.42,1.07,0.985,0.422,false,false,58.8,A,interessant
world_rival_leadership_split,La dissidence prend forme chez Reconquête,world,common,44,5,0.93,0.994,0.545,false,false,58.6,A,interessant
scandal_family_hire,La directrice a recruté son frère,scandal,common,374,5,1.37,0.946,0.439,false,false,58.3,A,interessant
world_european_vote,Le Conseil européen se divise,world,common,87,2.94,1.14,0.963,0.448,false,false,58.1,A,interessant
scandal_local_expenses,Des notes de frais se mélangent,scandal,common,282,4,0.93,0.982,0.418,false,false,58.1,A,interessant
scandal_consultant_contract,Le contrat du conseiller est publié,scandal,common,184,5,0.92,0.975,0.446,false,false,57.7,A,interessant
world_floods,La Garonne sort de son lit,world,common,402,6,0.71,0.992,0.388,false,false,57.6,A,neutre
world_public_service_outage,La plateforme publique tombe en panne,world,common,528,3,0.86,0.973,0.436,false,false,57.4,A,neutre
world_industrial_closure,Une aciérie annonce sa fermeture,world,common,147,6,0.71,0.977,0.401,false,false,56.9,A,neutre
world_energy_price_spike,Le gaz double en une semaine,world,common,264,6,0.57,0.973,0.447,false,false,56.1,A,neutre
world_national_strike,La grève bloque les transports,world,common,148,6,1.09,0.918,0.5,false,false,55.9,A,neutre
world_economic_slowdown,La croissance simulée se retourne,world,common,314,5,0.7,0.95,0.487,false,false,55.7,A,neutre
world_housing_protest,Les tentes encerclent la préfecture,world,common,96,3,0.45,0.973,0.438,false,false,55.7,A,neutre
world_heatwave,Quarante-quatre degrés à Lyon,world,common,121,5,0.6,0.955,0.471,false,false,55.5,A,neutre
scandal_campaign_data,Un fichier militant sort du siège,scandal,common,220,6,1.15,0.886,0.509,false,false,54.7,B,neutre
world_international_crisis,Une crise ferme un détroit,world,common,326,5,0.84,0.914,0.509,false,false,54.6,B,neutre
scandal_plagiarized_report,Le rapport reprend huit paragraphes,scandal,common,310,3.31,0.88,0.886,0.545,false,false,53.5,B,neutre
world_budget_warning,La Cour des comptes alerte,world,common,148,5,0.73,0.881,0.527,false,false,52.7,B,neutre
scandal_supplier_overbilling,L’imprimeur a doublé une ligne,scandal,common,337,4,0.74,0.861,0.591,false,false,51.9,B,frustrant
world_rival_leadership_tension,Tensions internes chez Reconquête,world,common,236,2.63,0.9,0.81,0.627,false,false,50.2,B,frustrant
scandal_donation_route,Un virement suit un trajet complexe,scandal,uncommon,210,5,0.82,0.796,0.61,false,false,49.2,B,frustrant
world_security_attack,Une attaque frappe un lieu public,world,uncommon,1,6,0.83,0,1,false,false,3.7,F,frustrant
