partyId,seedIndex,seed,followUpAgent,checkpointEventId,checkpointDecisionIndex,choiceId,choiceLabel,choiceTag,scoreAtCheckpointPlus0,scoreAtCheckpointPlus3,scoreAtCheckpointPlus8,finalFirstRoundScore,finalQualified,finalWon,finalScore,finalEndingId,ideologyMovementSinceBranch
lfi,0,branch-0,aleatoire,media_fictional_editorial_support,5,editorial_support_boundaries,Remercier pour l’accord ponctuel tout en publiant vos désaccords précis avec Gabriel Valès,TRANSPARENT,12.9,12.89,13.29,17.9,true,true,85,president,18.41
lfi,0,branch-0,aleatoire,media_fictional_editorial_support,5,editorial_support_reject,Refuser explicitement ce soutien et retirer Gabriel Valès de toute invitation de campagne,CLIVANT,12.83,12.99,13.34,14.8,true,true,77,president,7.7
lfi,0,branch-0,aleatoire,media_fictional_editorial_support,5,editorial_support_meeting,Inviter Gabriel Valès à débattre publiquement de vos divergences au prochain meeting,RISQUÉ,12.69,12.74,13.08,17.6,true,true,83,president,23.29
lfi,0,branch-0,ideologiquement_coherent,media_fictional_editorial_support,5,editorial_support_boundaries,Remercier pour l’accord ponctuel tout en publiant vos désaccords précis avec Gabriel Valès,TRANSPARENT,12.9,13.32,14.15,18.5,true,true,85,president,7.2
lfi,0,branch-0,ideologiquement_coherent,media_fictional_editorial_support,5,editorial_support_reject,Refuser explicitement ce soutien et retirer Gabriel Valès de toute invitation de campagne,CLIVANT,12.83,13.22,14.06,18.5,true,true,85,president,7.2
lfi,0,branch-0,ideologiquement_coherent,media_fictional_editorial_support,5,editorial_support_meeting,Inviter Gabriel Valès à débattre publiquement de vos divergences au prochain meeting,RISQUÉ,12.69,13.01,13.86,18.2,true,true,85,president,7.2
lfi,1,branch-1,aleatoire,program_family_reunification,5,family_reunification_extend_delay,Fixer à trois ans le délai de résidence requis avant regroupement familial,CLIVANT,12.69,12.96,13.19,15,true,true,77,president,12.21
lfi,1,branch-1,aleatoire,program_family_reunification,5,family_reunification_faster_processing,Maintenir les délais actuels et accélérer l’instruction des dossiers,TECHNIQUE,13.24,13.72,14.25,14.2,true,true,75,president,7.31
lfi,1,branch-1,aleatoire,program_family_reunification,5,family_reunification_resource_condition,Conditionner le regroupement à un niveau de ressources et de logement vérifié,TECHNIQUE,13.11,13.22,14.17,13.7,true,true,71,president,11.8
lfi,1,branch-1,ideologiquement_coherent,program_family_reunification,5,family_reunification_extend_delay,Fixer à trois ans le délai de résidence requis avant regroupement familial,CLIVANT,12.69,12.96,13.92,15.8,true,true,77,president,10.08
lfi,1,branch-1,ideologiquement_coherent,program_family_reunification,5,family_reunification_faster_processing,Maintenir les délais actuels et accélérer l’instruction des dossiers,TECHNIQUE,13.24,13.79,14.74,16.5,true,true,79,president,6.58
lfi,1,branch-1,ideologiquement_coherent,program_family_reunification,5,family_reunification_resource_condition,Conditionner le regroupement à un niveau de ressources et de logement vérifié,TECHNIQUE,13.11,13.6,14.54,16.4,true,true,79,president,8.19
lfi,2,branch-2,aleatoire,campaign_endorsements_missing,5,endorsements_private_route,Rencontrer individuellement les maires et garantir la confidentialité des échanges,PRUDENT,12.05,12.46,12.63,12.5,false,false,55,kingmaker,14.74
lfi,2,branch-2,aleatoire,campaign_endorsements_missing,5,endorsements_public_appeal,Publier la liste des territoires manquants et appeler les élus à parrainer,OFFENSIF,12.2,12.61,13.34,12.5,false,false,53,kingmaker,6.56
lfi,2,branch-2,aleatoire,campaign_endorsements_missing,5,endorsements_cross_party,Négocier des parrainages pluralistes sans demander de soutien politique,INSTITUTIONNEL,12.23,12.67,13.48,12.2,false,false,54,kingmaker,19.26
lfi,2,branch-2,ideologiquement_coherent,campaign_endorsements_missing,5,endorsements_private_route,Rencontrer individuellement les maires et garantir la confidentialité des échanges,PRUDENT,12.05,12.79,13.63,13.5,false,false,56,kingmaker,5.24
lfi,2,branch-2,ideologiquement_coherent,campaign_endorsements_missing,5,endorsements_public_appeal,Publier la liste des territoires manquants et appeler les élus à parrainer,OFFENSIF,12.2,13,13.84,13.8,true,false,69,runoff_defeat,5.24
lfi,2,branch-2,ideologiquement_coherent,campaign_endorsements_missing,5,endorsements_cross_party,Négocier des parrainages pluralistes sans demander de soutien politique,INSTITUTIONNEL,12.23,13.05,13.88,13.7,true,false,69,runoff_defeat,5.24
lfi,3,branch-3,aleatoire,world_national_strike,5,strike_mediation,Demander une médiation indépendante avec suspension des nouvelles mesures pendant quarante-huit heures,INSTITUTIONNEL,13.23,13.68,14.1,15.7,true,false,74,runoff_defeat,9.59
lfi,3,branch-3,aleatoire,world_national_strike,5,strike_support_workers,Soutenir les revendications salariales et rejoindre le piquet sans demander la reprise du trafic,CLIVANT,13.2,13.44,14.61,16.3,true,false,73,runoff_defeat,12.78
lfi,3,branch-3,aleatoire,world_national_strike,5,strike_minimum_service,Proposer un service minimal renforcé et conditionner toute aide publique à sa mise en œuvre,OFFENSIF,13.15,13.37,14.39,16,true,false,73,runoff_defeat,18.29
lfi,3,branch-3,ideologiquement_coherent,world_national_strike,5,strike_mediation,Demander une médiation indépendante avec suspension des nouvelles mesures pendant quarante-huit heures,INSTITUTIONNEL,13.23,13.89,14.55,17.7,true,false,77,runoff_defeat,5.6
lfi,3,branch-3,ideologiquement_coherent,world_national_strike,5,strike_support_workers,Soutenir les revendications salariales et rejoindre le piquet sans demander la reprise du trafic,CLIVANT,13.2,14.02,14.98,17.3,true,false,76,runoff_defeat,7.04
lfi,3,branch-3,ideologiquement_coherent,world_national_strike,5,strike_minimum_service,Proposer un service minimal renforcé et conditionner toute aide publique à sa mise en œuvre,OFFENSIF,13.15,13.94,14.94,17.2,true,false,76,runoff_defeat,10.47
lfi,4,branch-4,aleatoire,media_local_press,5,local_press_health_contracts,Proposer des contrats territoriaux avec objectifs publics et financement garanti sur cinq ans,INSTITUTIONNEL,12.35,12.78,13.78,19.2,true,true,85,president,9.45
lfi,4,branch-4,aleatoire,media_local_press,5,local_press_doctor_requirement,Conditionner l’installation des nouveaux médecins à plusieurs années dans une zone sous-dotée,CLIVANT,12.14,12.69,13.73,16.6,true,true,76,president,8.05
lfi,4,branch-4,aleatoire,media_local_press,5,local_press_mobile_services,Financer des maisons de santé mobiles gérées avec les départements volontaires,TECHNIQUE,12.27,12.46,12.01,17,true,true,79,president,23.3
lfi,4,branch-4,ideologiquement_coherent,media_local_press,5,local_press_health_contracts,Proposer des contrats territoriaux avec objectifs publics et financement garanti sur cinq ans,INSTITUTIONNEL,12.35,13.01,14.17,18.9,true,true,86,president,12.24
lfi,4,branch-4,ideologiquement_coherent,media_local_press,5,local_press_doctor_requirement,Conditionner l’installation des nouveaux médecins à plusieurs années dans une zone sous-dotée,CLIVANT,12.14,12.69,13.86,18.6,true,true,85,president,11.48
lfi,4,branch-4,ideologiquement_coherent,media_local_press,5,local_press_mobile_services,Financer des maisons de santé mobiles gérées avec les départements volontaires,TECHNIQUE,12.27,12.88,14.05,18.8,true,true,86,president,12.5
lfi,5,branch-5,aleatoire,scandal_donation_route,5,donation_route_return,Renvoyer immédiatement le don et transmettre le dossier à la commission des comptes,PRUDENT,12.36,13.1,13.84,15.1,true,true,75,president,18.56
lfi,5,branch-5,aleatoire,scandal_donation_route,5,donation_route_verify,Geler le don sur un compte séparé et demander les justificatifs complets avant décision,TECHNIQUE,12.33,12.72,12.98,15.8,true,true,79,president,14.57
lfi,5,branch-5,aleatoire,scandal_donation_route,5,donation_route_keep,Conserver le don sur la foi d’une attestation simple et répondre seulement si la commission interroge,RISQUÉ,12.13,12.99,13.5,16,true,false,73,runoff_defeat,9.31
