eventId,eventTitle,choiceId,choiceLabel,timesEncounteredTotal,timesChosen,selectionShare,avgPollDelta,agentsChoosingIt,dominant
custom_experts_panel,Le comité d’experts parle à la place des militants,custom_experts_pairing,Imposer sur chaque intervention un binôme composé d’un expert et d’un responsable local concerné,11,11,1,1.977,prudent|aleatoire|ideologiquement_coherent|risque,true
debate_frontrunner_retaliation,La riposte du favori,frontrunner_retaliation_deride,Publier une courte intervention qui tourne l’attaque en dérision,19,18,0.947,-0.037,mediatique|risque,true
custom_identity_interview,La matinale exige une phrase pour définir votre parti,custom_identity_three_proofs,Répondre par trois décisions que les partis voisins ont refusé de prendre et donner leur calendrier,47,44,0.936,-0.007,prudent|aleatoire|ideologiquement_coherent|risque,true
party_ps_runoff,La gauche attend un contrat de second tour,ps_runoff_left_contract,Signer avec LFI et les Écologistes un contrat limité à cinq lois prioritaires,24,21,0.875,0.056,aleatoire|prudent|risque|ideologiquement_coherent|opportuniste_electoral|parti_dabord|mediatique,true
party_ecologistes_runoff,Le second tour exige une coalition climatique,ecologistes_runoff_climate_coalition,Proposer à toute la gauche un gouvernement de coalition lié par dix objectifs climatiques et sociaux,16,14,0.875,0.171,aleatoire|prudent|risque|ideologiquement_coherent|opportuniste_electoral|parti_dabord|mediatique,true
custom_local_network,Quarante comités locaux demandent une règle commune,custom_network_certification,Suspendre le label aux comités qui ne transmettent pas leurs comptes sous trente jours,45,39,0.867,0.196,prudent|aleatoire|ideologiquement_coherent|risque,true
party_ps_signature,La garantie jeunesse doit être financée,ps_signature_contribution,Financer une allocation sous conditions par une contribution accrue sur les revenus du capital,12,10,0.833,-2.174,aleatoire|prudent|risque|opportuniste_electoral|parti_dabord|mediatique|contrarien,true
party_ecologistes_local_asset,Des élus ruraux proposent une tournée,ecologistes_local_rail_announcement,Organiser une seule étape à Clermont-Ferrand pour annoncer un plan de réouverture ferroviaire,12,10,0.833,-0.529,aleatoire|prudent|risque|ideologiquement_coherent|opportuniste_electoral|parti_dabord|mediatique,true
party_rn_fronde,Louis Ferran refuse la modération,rn_fronde_regional_mandate,Confier à Louis Ferran trois meetings régionaux avec un texte programmatique validé,12,10,0.833,0.081,aleatoire|prudent|risque|ideologiquement_coherent|opportuniste_electoral|parti_dabord|mediatique,true
party_nouvelle_energie_program_dilemma,La baisse de dépense rencontre l’hôpital,nouvelle_energie_program_health_protection,Sanctuariser les soins de proximité et concentrer les économies sur les fonctions administratives centrales,11,9,0.818,0.256,aleatoire|prudent|risque|ideologiquement_coherent|opportuniste_electoral|parti_dabord|contrarien,true
campaign_market_walkabout,Le marché sous pression,market_energy_receipts,Publier trois factures anonymisées et demander un plafonnement ciblé,107,86,0.804,0.229,prudent|ideologiquement_coherent|opportuniste_electoral|parti_dabord|mediatique|risque|aleatoire,true
