screen,viewport,category,rule_or_check,impact,detail
"accueil","1366x768","axe","none","none","Aucune violation WCAG 2 A/AA détectée"
"accueil","1366x768","focus","premier-focus-visible-au-tab","none","Focus visible sur <a>"
"accueil","1366x768","tap-target","cible-tactile-44px","moderate","1 élément(s) sous 44px : Aller au contenu"
"accueil","390x844","axe","none","none","Aucune violation WCAG 2 A/AA détectée"
"accueil","390x844","focus","premier-focus-visible-au-tab","none","Focus visible sur <a>"
"accueil","390x844","tap-target","cible-tactile-44px","moderate","4 élément(s) sous 44px : Aller au contenu | Archives | Succès | À propos"
"choix-parti","1366x768","axe","none","none","Aucune violation WCAG 2 A/AA détectée"
"choix-parti","1366x768","focus","premier-focus-visible-au-tab","none","Focus visible sur <button>"
"choix-parti","1366x768","tap-target","cible-tactile-44px","moderate","1 élément(s) sous 44px : Aller au contenu"
"evenement-campagne","1366x768","axe","none","none","Aucune violation WCAG 2 A/AA détectée"
"evenement-campagne","1366x768","focus","premier-focus-visible-au-tab","none","Focus visible sur <button>"
"evenement-campagne","1366x768","tap-target","cible-tactile-44px","moderate","1 élément(s) sous 44px : Aller au contenu"
"evenement-campagne","1366x768","reduced-motion","duree-sous-reduced-motion","none","Toutes les durées d'animation/transition sont ramenées à ~0 sous prefers-reduced-motion"
"evenement-campagne","390x844","axe","none","none","Aucune violation WCAG 2 A/AA détectée"
"evenement-campagne","390x844","focus","premier-focus-visible-au-tab","none","Focus visible sur <button>"
"evenement-campagne","390x844","tap-target","cible-tactile-44px","moderate","4 élément(s) sous 44px : Aller au contenu | Archives | Succès | À propos"
"tableau-de-bord","1366x768","axe","none","none","Aucune violation WCAG 2 A/AA détectée"
"tableau-de-bord","1366x768","focus","premier-focus-visible-au-tab","none","Focus visible sur <button>"
"tableau-de-bord","1366x768","tap-target","cible-tactile-44px","moderate","1 élément(s) sous 44px : Aller au contenu"
"consequence","1366x768","axe","color-contrast","serious","Elements must meet minimum color contrast ratio thresholds (9 nœud(s)) — .text-\[var\(--ink-muted\)\]:nth-child(3) [#717d8d sur #f8f5ee, ratio 3.84, requis 4.5:1] ; .mt-1.text-xs.text-\[var\(--ink-muted\)\] [#717d8d sur #f8f5ee, ratio 3.84, requis 4.5:1] ; li:nth-child(1) [#4b8c74 sur #eefbf4, ratio 3.72, requis 4.5:1] ; li:nth-child(2) [#4b8c74 sur #eefbf4, ratio 3.72, requis 4.5:1]"
"consequence","1366x768","focus","premier-focus-visible-au-tab","none","Focus visible sur <button>"
"consequence","1366x768","tap-target","cible-tactile-44px","moderate","1 élément(s) sous 44px : Aller au contenu"
