eventId,title,category,rarity,choices,oncePerRun,cooldown,maxAppearances,hasChainMetadata,launchesChain,hasDelayedConsequence,hasHiddenConsequence,usesActorMemory,usesPriorDecision,modifiesIdeology,modifiesRelation,affectsOpponent,canRemoveCandidate,classicTriptych,mechanicallyConvergentOptions,hasMechanicallyIdenticalOptions,eligibleIdeologyFamilies,eligibleParties
campaign_official_launch,Le lancement depuis Saint-Denis,campaign,common,3,true,8,,false,true,false,true,false,false,true,false,false,false,false,false,false,,
campaign_factory_visit,L’atelier industriel de Saint-Nazaire,campaign,common,3,true,8,,false,false,false,true,false,false,false,false,false,false,false,false,false,,
campaign_market_walkabout,Le marché sous pression,campaign,common,2,true,8,,false,false,false,true,false,false,false,false,false,false,false,false,false,,
campaign_volunteer_surge,Le siège déborde de bénévoles,campaign,common,3,true,8,,false,false,false,true,false,false,false,false,false,false,false,false,false,,
campaign_poster_shortage,Les affiches manquent dans six villes,campaign,common,2,true,8,,false,false,false,false,false,false,false,false,false,false,false,false,false,,
campaign_endorsements_missing,Les parrainages restent sous le seuil,campaign,common,3,true,8,,false,false,false,true,false,false,false,false,false,false,false,false,false,,
campaign_budget_arbitration,Le budget impose trois renoncements,campaign,common,3,true,8,,false,false,false,true,false,false,false,false,false,false,false,false,false,,
campaign_regional_rally,Le meeting quitte la capitale,campaign,common,3,true,8,,false,false,false,true,false,false,false,false,false,false,false,false,false,,
campaign_door_to_door,Cent quartiers en porte-à-porte,campaign,common,3,true,8,,false,false,false,true,false,false,false,false,false,false,false,false,false,radical_left|social_democrat|green|national_right,
campaign_bus_breakdown,Le car tombe en panne,campaign,common,3,true,8,,false,false,false,true,false,false,false,false,false,false,false,false,false,,
campaign_citizens_convention,La convention citoyenne réclame une réponse,campaign,common,3,true,8,,false,true,false,true,false,false,false,false,false,false,false,false,false,radical_left|social_democrat|green,
campaign_farmers_roundtable,La table ronde agricole se tend,campaign,common,3,true,8,,false,true,false,true,false,false,false,false,false,false,false,false,false,center_right|conservative_right|national_right|sovereigntist_right,
campaign_student_forum,Le forum étudiant refuse les slogans,campaign,common,3,true,8,,false,false,false,true,false,true,false,false,false,false,false,false,false,,
campaign_hospital_night,Une nuit avec les urgences,campaign,common,3,true,8,,false,true,false,false,false,true,false,false,false,false,false,false,false,,
campaign_small_business,La PME teste votre réforme,campaign,common,3,true,8,,false,true,false,true,false,false,false,false,false,false,false,false,false,liberal_center|center_right|conservative_right,
campaign_peripheral_town,La périphérie demande un calendrier,campaign,common,3,true,8,,false,false,false,true,false,false,false,false,false,false,false,false,false,radical_left|national_right|sovereigntist_right,
campaign_overseas_trip,Le déplacement en Guadeloupe engage,campaign,common,3,true,8,,false,false,false,true,false,false,false,false,false,false,false,false,false,radical_left|social_democrat|liberal_center|national_right,
campaign_rural_desert,Trois villages sans médecin,campaign,common,3,true,8,,false,false,false,true,false,false,false,false,false,false,false,false,false,green|center_right|conservative_right,
campaign_union_meeting,Le face-à-face avec les syndicats,campaign,common,3,true,8,,false,false,false,true,false,true,false,false,false,false,false,false,false,,
campaign_donation_drive,La collecte se bloque,campaign,common,3,true,8,,false,false,true,true,false,false,false,false,false,false,false,false,false,,
campaign_rally_security,Le meeting change de dispositif,campaign,common,3,true,8,,false,false,false,false,false,false,false,false,false,false,false,false,false,,
campaign_calendar_conflict,Deux invitations au même horaire,campaign,common,3,true,8,,false,false,false,true,false,false,false,false,false,false,false,false,false,,
campaign_slogan_test,Le slogan divise le siège,campaign,common,3,true,8,,false,false,false,true,false,false,false,false,false,false,false,false,false,,
campaign_weather_disaster,La pluie emporte la tournée,campaign,common,3,true,8,,false,false,false,true,false,false,false,false,false,false,false,false,false,,
campaign_final_rally,Le dernier grand meeting,campaign,common,3,true,8,,false,false,false,true,false,false,false,false,false,false,false,false,false,,
media_economic_morning,Le chiffrage de la matinale,media,common,3,true,8,,true,true,true,true,false,true,false,false,false,false,false,false,false,,
media_unflattering_photo,La photographie du quai vide,media,common,3,true,8,,false,false,false,false,false,false,false,false,false,false,false,false,false,,
media_short_video,Une minute sur les loyers,media,common,3,true,8,,false,false,false,true,false,false,false,false,false,false,false,false,false,radical_left|green|national_right|sovereigntist_right,
media_long_podcast,Deux heures sans élément de langage,media,common,3,true,8,,false,false,false,true,false,false,false,false,false,false,false,false,false,social_democrat|green|liberal_center|center_right,
media_fictional_editorial_support,Un soutien éditorial encombrant,media,common,3,true,8,,false,false,false,true,false,false,false,false,false,false,false,false,false,,
media_fact_check_followup,Le coût passe au crible,media,common,3,true,8,,true,false,false,true,false,true,false,false,false,false,false,false,false,,
media_silence_day,Vingt-quatre heures sans caméra,media,common,2,true,8,,false,false,false,true,false,false,false,false,false,false,false,false,false,,
media_open_microphone,Le micro resté ouvert,media,common,3,true,8,,false,false,false,true,false,false,false,false,false,false,false,false,false,,
media_live_stream,Le direct des questions citoyennes,media,common,2,true,8,,false,false,false,true,false,false,false,false,false,false,false,false,false,,
media_prime_time_invite,Le fauteuil libéré au vingt heures,media,common,3,true,8,,false,false,false,true,false,false,false,false,false,false,true,false,false,,
media_local_press,Six rédactions face au désert médical,media,common,3,true,8,,false,false,false,true,false,false,false,false,false,false,false,false,false,,
media_foreign_interview,La France vue depuis Bruxelles,media,common,3,true,8,,false,false,false,true,false,true,true,false,false,false,false,false,false,social_democrat|green|liberal_center|center_right|conservative_right|custom,
