eventId,title,category,importance,rarity,optionsCount,timesEncountered,uniquePartiesEncountered,avgDecisionIndex,avgPollDelta,dominantChoiceId,dominantChoiceShare
runoff_final_debate,Le débat de lentre-deux-tours,between_rounds,decisive,common,4,220,10,27.18,0.151,final_debate_admit_compromises,0.386
runoff_favorite_pressure,Deux points davance à cinq jours,between_rounds,,common,3,205,10,27.15,0.194,favorite_pressure_attack,0.459
media_front_page,La une vous prête un tournant,media,,common,3,176,10,6.15,0.594,front_page_balance,0.688
runoff_last_hours,Les dernières heures autorisées,between_rounds,decisive,common,3,170,10,27.09,0.188,last_hours_address,0.429
media_local_press,Six rédactions face au désert médical,media,,common,3,160,10,9.14,0.404,local_press_doctor_requirement,0.487
media_prime_time_invite,Le fauteuil libéré au vingt heures,media,major,common,3,160,10,8.8,-0.225,prime_time_accept_open,0.406
internal_primary_debt,La promesse faite après la primaire,internal,,common,3,157,10,4.89,0.085,primary_debt_break,0.535
campaign_factory_visit,L’atelier industriel de Saint-Nazaire,campaign,notable,common,3,155,10,9.61,0.691,factory_training_contract,0.432
runoff_endorsement_wave,Les soutiens arrivent avec leurs conditions,between_rounds,major,common,3,152,10,26.53,0.226,endorsement_wave_bilateral,0.493
runoff_vote_transfers,Les reports refusent la mécanique,between_rounds,major,common,3,147,10,26.72,0.229,vote_transfers_local_meetings,0.517
media_live_stream,Le direct des questions citoyennes,media,,common,2,144,10,10.75,0.313,livestream_continue_all,0.535
program_integration_contract,"Le contrat d’intégration, jusqu’où aller",program,notable,common,3,141,10,5.43,0.159,integration_contract_mandatory_tests,0.475
media_open_microphone,Le micro resté ouvert,media,major,common,3,138,10,11.3,-0.249,open_mic_apology,0.529
campaign_volunteer_surge,Le siège déborde de bénévoles,campaign,notable,common,3,137,10,6.72,0.162,volunteers_data_research,0.504
internal_recruitment,Cinq cents bénévoles sans mission,internal,,common,3,135,8,6.53,-0.486,recruitment_field_now,0.437
program_institutions,La présidence que vous proposez,program,major,common,4,130,10,9.63,-0.177,institutions_presidential_power,0.385
program_europe,La règle européenne à changer,program,major,common,3,130,10,9.62,0.569,europe_national_opt_out,0.423
program_pensions,La ligne de départ des retraites,program,major,common,4,129,10,7.65,0.312,pensions_age_64,0.566
runoff_common_program,La coalition réclame une annexe,between_rounds,major,common,3,129,10,27.82,-0.349,common_program_method,0.388
internal_local_sections,Les sections refusent le kit national,internal,,common,3,128,10,9.64,0.134,local_sections_authorize,0.789
campaign_regional_rally,Le meeting quitte la capitale,campaign,notable,common,3,128,10,16.57,0.186,regional_toulouse_climate,0.453
campaign_budget_arbitration,Le budget impose trois renoncements,campaign,major,common,3,121,10,14.07,0.013,budget_emergency_fundraising,0.372
media_silence_day,Vingt-quatre heures sans caméra,media,,common,2,119,9,13.96,-0.099,silence_cancel_pause,0.639
