eventId,title,category,rarity,occurrences,meanIntensity,meanAbsPollDelta,choiceEntropyNormalized,dominantChoiceShare,isChain,isRare,compositeScore,grade
party_ps_crisis_followup,La contribution fiscale revient devant le parti,party,uncommon,39,5,1.81,0.996,0.538,true,false,74.1,S
party_nouvelle_energie_fronde,Raphaël Ternois pousse à la fusion,party,common,61,5,1.73,0.99,0.557,true,false,73.8,S
party_reconquete_fronde,Hélène Saint-Cyr refuse l’élargissement,party,common,68,5,1.63,0.977,0.588,true,false,72.8,S
party_nouvelle_energie_crisis_followup,La négociation de fusion arrive au vote,party,uncommon,43,5,1.26,0.99,0.558,true,false,71.8,S
party_lr_crisis_followup,Les fédérations exigent un vote de ligne,party,uncommon,50,5,1.08,0.999,0.52,true,false,71.5,S
party_reconquete_crisis_followup,Les comités de Saint-Cyr se coordonnent,party,uncommon,43,5,1.03,0.996,0.535,true,false,71.1,S
internal_strategy_leak,La note sur le vote utile fuite,internal,common,198,5,1.04,0.986,0.404,true,false,70.7,S
party_horizons_crisis_followup,Le mandat de négociation arrive à échéance,party,uncommon,53,5,0.85,0.998,0.528,true,false,70.5,S
party_lfi_fronde,Nassim Courbet réclame une ligne plus sociale,party,common,65,5,0.99,0.98,0.431,true,false,70.2,S
media_economic_morning,Le chiffrage de la matinale,media,common,108,5,0.77,0.997,0.361,true,false,70.1,S
party_ps_fronde,Élise Marceau conteste la synthèse,party,common,63,5,1.31,0.947,0.635,true,false,70.1,S
party_ecologistes_crisis_followup,La ligne énergétique revient au congrès,party,uncommon,52,5,0.7,0.99,0.558,true,false,69.5,A
party_renaissance_fronde,Salomé Varenne défend le bilan,party,common,62,5,1.1,0.951,0.629,true,false,69.4,A
debate_economy_round,Le duel sur les huit milliards,debate,common,172,6,0.93,0.963,0.314,true,false,69.2,A
media_documentary_access,La caméra derrière la porte,media,common,148,3.03,0.94,0.961,0.466,true,false,69.2,A
party_rn_crisis_followup,Le courant Ferran teste la discipline,party,uncommon,54,5,0.64,0.975,0.593,true,false,68.6,A
alliance_udr_autonomy,Un allié du RN revendique sa marque,alliance,common,46,5,1.33,0.897,0.478,true,false,67.9,A
party_renaissance_crisis_followup,Les élus du bilan demandent réparation,party,uncommon,39,5,0.8,0.942,0.641,true,false,67.5,A
party_ecologistes_fronde,Maud Lestang rouvre le débat nucléaire,party,common,72,5,0.56,0.954,0.625,true,false,67.3,A
party_horizons_fronde,Théo Lagrive réclame un accord central,party,common,73,5,1.88,0.827,0.74,true,false,67.1,A
