pairId,endorsementId,acceptScore,declineScore,scoreDelta,acceptQualified,declineQualified,qualificationChanged
cfC-endorsement_esteves_liberal_entrepreneur-12,endorsement_esteves_liberal_entrepreneur,87,87,0,true,true,false
cfC-endorsement_esteves_liberal_entrepreneur-20,endorsement_esteves_liberal_entrepreneur,87,87,0,true,true,false
cfC-endorsement_ravignan_historic_right-25,endorsement_ravignan_historic_right,82,81,1,true,true,false
cfC-endorsement_esteves_liberal_entrepreneur-28,endorsement_esteves_liberal_entrepreneur,46,46,0,false,false,false
cfC-endorsement_ravignan_historic_right-33,endorsement_ravignan_historic_right,50,50,0,false,false,false
cfC-endorsement_ferrandi_local_network-38,endorsement_ferrandi_local_network,90,90,0,true,true,false
cfC-endorsement_kervadec_left_intellectual-43,endorsement_kervadec_left_intellectual,90,90,0,true,true,false
cfC-endorsement_aurousseau_green_governance-47,endorsement_aurousseau_green_governance,38,37,1,false,false,false
cfC-endorsement_cazalis_institutional_continuity-48,endorsement_cazalis_institutional_continuity,87,85,2,true,true,false
cfC-endorsement_kervadec_left_intellectual-59,endorsement_kervadec_left_intellectual,92,92,0,true,true,false
cfC-endorsement_aurousseau_green_governance-71,endorsement_aurousseau_green_governance,42,41,1,false,false,false
cfC-endorsement_aurousseau_green_governance-79,endorsement_aurousseau_green_governance,42,42,0,false,false,false
cfC-endorsement_ravignan_historic_right-81,endorsement_ravignan_historic_right,57,56,1,false,false,false
cfC-endorsement_chastagnier_social_democratic-90,endorsement_chastagnier_social_democratic,96,96,0,true,true,false
cfC-endorsement_brancourt_sovereigntist-101,endorsement_brancourt_sovereigntist,96,96,0,true,true,false
cfC-endorsement_aurousseau_green_governance-103,endorsement_aurousseau_green_governance,39,38,1,false,false,false
cfC-endorsement_brancourt_sovereigntist-117,endorsement_brancourt_sovereigntist,87,87,0,true,true,false
cfC-endorsement_ferrandi_local_network-118,endorsement_ferrandi_local_network,57,57,0,false,false,false
cfC-endorsement_cazalis_institutional_continuity-120,endorsement_cazalis_institutional_continuity,81,79,2,true,true,false
cfC-endorsement_brancourt_sovereigntist-133,endorsement_brancourt_sovereigntist,47,47,0,false,false,false
cfC-endorsement_kervadec_left_intellectual-139,endorsement_kervadec_left_intellectual,95,95,0,true,true,false
cfC-endorsement_ferrandi_local_network-142,endorsement_ferrandi_local_network,55,54,1,false,false,false
cfC-endorsement_ravignan_historic_right-145,endorsement_ravignan_historic_right,51,51,0,false,false,false
cfC-endorsement_kervadec_left_intellectual-147,endorsement_kervadec_left_intellectual,91,92,-1,true,true,false
cfC-endorsement_brancourt_sovereigntist-149,endorsement_brancourt_sovereigntist,92,92,0,true,true,false
cfC-endorsement_chastagnier_social_democratic-170,endorsement_chastagnier_social_democratic,93,93,0,true,true,false
cfC-endorsement_esteves_liberal_entrepreneur-172,endorsement_esteves_liberal_entrepreneur,70,70,0,true,true,false
cfC-endorsement_brancourt_sovereigntist-181,endorsement_brancourt_sovereigntist,64,64,0,false,false,false
cfC-endorsement_ravignan_historic_right-185,endorsement_ravignan_historic_right,53,51,2,false,false,false
cfC-endorsement_kervadec_left_intellectual-187,endorsement_kervadec_left_intellectual,93,93,0,true,true,false
cfC-endorsement_brancourt_sovereigntist-221,endorsement_brancourt_sovereigntist,88,87,1,true,true,false
cfC-endorsement_aurousseau_green_governance-223,endorsement_aurousseau_green_governance,61,61,0,false,false,false
cfC-endorsement_ravignan_historic_right-225,endorsement_ravignan_historic_right,46,45,1,false,false,false
cfC-endorsement_brancourt_sovereigntist-229,endorsement_brancourt_sovereigntist,57,58,-1,false,false,false
cfC-endorsement_esteves_liberal_entrepreneur-244,endorsement_esteves_liberal_entrepreneur,72,72,0,true,true,false
cfC-endorsement_ferrandi_local_network-246,endorsement_ferrandi_local_network,74,73,1,true,true,false
cfC-endorsement_aurousseau_green_governance-263,endorsement_aurousseau_green_governance,49,48,1,false,false,false
cfC-endorsement_esteves_liberal_entrepreneur-268,endorsement_esteves_liberal_entrepreneur,68,68,0,true,true,false
cfC-endorsement_brancourt_sovereigntist-269,endorsement_brancourt_sovereigntist,81,81,0,true,true,false
cfC-endorsement_ferrandi_local_network-278,endorsement_ferrandi_local_network,63,63,0,false,false,false
cfC-endorsement_ravignan_historic_right-281,endorsement_ravignan_historic_right,66,65,1,false,false,false
cfC-endorsement_cazalis_institutional_continuity-288,endorsement_cazalis_institutional_continuity,92,86,6,true,true,false
cfC-endorsement_aurousseau_green_governance-295,endorsement_aurousseau_green_governance,56,54,2,false,false,false
cfC-endorsement_chastagnier_social_democratic-306,endorsement_chastagnier_social_democratic,97,97,0,true,true,false
cfC-endorsement_chastagnier_social_democratic-314,endorsement_chastagnier_social_democratic,88,88,0,true,true,false
cfC-endorsement_kervadec_left_intellectual-315,endorsement_kervadec_left_intellectual,84,85,-1,true,true,false
cfC-endorsement_esteves_liberal_entrepreneur-316,endorsement_esteves_liberal_entrepreneur,80,80,0,true,true,false
cfC-endorsement_aurousseau_green_governance-327,endorsement_aurousseau_green_governance,80,79,1,true,true,false
cfC-endorsement_cazalis_institutional_continuity-328,endorsement_cazalis_institutional_continuity,76,77,-1,true,true,false
cfC-endorsement_ravignan_historic_right-329,endorsement_ravignan_historic_right,63,60,3,false,false,false
cfC-endorsement_kervadec_left_intellectual-331,endorsement_kervadec_left_intellectual,97,97,0,true,true,false
cfC-endorsement_aurousseau_green_governance-343,endorsement_aurousseau_green_governance,68,67,1,false,false,false
cfC-endorsement_esteves_liberal_entrepreneur-348,endorsement_esteves_liberal_entrepreneur,84,84,0,true,true,false
cfC-endorsement_chastagnier_social_democratic-354,endorsement_chastagnier_social_democratic,97,97,0,true,true,false
cfC-endorsement_esteves_liberal_entrepreneur-356,endorsement_esteves_liberal_entrepreneur,79,79,0,true,true,false
cfC-endorsement_brancourt_sovereigntist-357,endorsement_brancourt_sovereigntist,71,71,0,true,true,false
cfC-endorsement_brancourt_sovereigntist-365,endorsement_brancourt_sovereigntist,82,82,0,true,true,false
cfC-endorsement_aurousseau_green_governance-367,endorsement_aurousseau_green_governance,55,55,0,false,false,false
cfC-endorsement_ravignan_historic_right-369,endorsement_ravignan_historic_right,57,57,0,false,false,false
cfC-endorsement_ravignan_historic_right-377,endorsement_ravignan_historic_right,54,54,0,false,false,false
cfC-endorsement_ferrandi_local_network-382,endorsement_ferrandi_local_network,72,71,1,true,true,false
cfC-endorsement_aurousseau_green_governance-383,endorsement_aurousseau_green_governance,69,69,0,true,true,false
cfC-endorsement_aurousseau_green_governance-391,endorsement_aurousseau_green_governance,66,65,1,true,true,false
