runKey,partyId,partyProfile,partyKind,agent,seedIndex,decisionIndex,date,phase,eventId,eventTitle,eventCategory,eventImportance,optionsCount,choiceId,choiceLabel,choiceTag,choiceStrategy,outcomeId,outcomeTitle,narrative,narrativeLength,visibleEffectsCount,decisiveFactorsCount,statementEvolution,pollBefore,pollAfter,pollDelta,rankBefore,rankAfter,intensityEstimate,isChain,isRare
lfi:aleatoire:0,lfi,lfi,existing,aleatoire,0,1,2026-04-18,pre_campaign,media_local_press,Six rédactions face au désert médical,media,,3,local_press_doctor_requirement,Conditionner l’installation des nouveaux médecins à plusieurs années dans une zone sous-dotée,CLIVANT,policy_commitment,doctor_requirement_divides,L’obligation structure le débat,"La mesure est immédiatement comprise dans les communes touchées, tandis que les représentants des jeunes médecins dénoncent une contrainte injuste. Vous gagnez un marqueur puissant et un conflit durable à arbitrer.",214,3,0,initial_position,13.7,11.61,-2.09,1,5,3,false,false
lfi:aleatoire:0,lfi,lfi,existing,aleatoire,0,2,2026-05-02,pre_campaign,program_labor_immigration,"L’immigration de travail, un choix économique assumé ou non",program,major,3,labor_immigration_shortage_list,Ouvrir une liste de métiers en tension avec délivrance accélérée de titres de séjour,OPPORTUNISTE,policy_commitment,labor_immigration_shortage_open,Les métiers en tension trouvent une réponse,Les fédérations patronales concernées saluent une réponse concrète à leurs alertes répétées. Une partie de votre socle électoral dénonce une politique migratoire dictée par des besoins économiques de court terme.,212,4,0,initial_position,11.61,11.6,-0.01,5,5,5,false,false
lfi:aleatoire:0,lfi,lfi,existing,aleatoire,0,3,2026-05-16,pre_campaign,party_lfi_program_dilemma,La désobéissance européenne doit être définie,party,major,3,lfi_program_unilateral,"Annoncer que le programme national sappliquera immédiatement, avec négociation européenne ensuite",CLIVANT,break,lfi_program_national_priority,Le mandat national passe avant la négociation,La ligne mobilise les souverainistes de gauche et clarifie le calendrier de rupture. Elle inquiète les électeurs attachés à lUnion et réduit les soutiens possibles au second tour.,179,3,0,initial_position,11.6,11.52,-0.09,5,5,5,false,false
lfi:aleatoire:0,lfi,lfi,existing,aleatoire,0,4,2026-06-03,pre_campaign,internal_recruitment,Cinq cents bénévoles sans mission,internal,,3,recruitment_field_now,Envoyer les volontaires dès samedi avec un script unique et des responsables de secteur,POPULAIRE,grassroots_mobilization,recruitment_immediate_field,Cinq cents gilets apparaissent en un week-end,"La visibilité surprend vos concurrents et des milliers de portes sont frappées. Quelques maladresses circulent en vidéo, sans annuler le signal d’une campagne capable de déployer rapidement ses soutiens.",203,3,0,,11.52,11.5,-0.02,5,5,4,false,false
lfi:aleatoire:0,lfi,lfi,existing,aleatoire,0,5,2026-06-15,pre_campaign,campaign_factory_visit,L’atelier industriel de Saint-Nazaire,campaign,notable,3,factory_listen_shift,Renoncer au discours préparé et tenir une réunion avec l’équipe de nuit,POPULAIRE,grassroots_mobilization,factory_night_shift,L’équipe de nuit impose ses priorités,"Les échanges font remonter le coût des transports et les horaires de garde. Vous gagnez la confiance du site, mais aucune annonce nationale ne ressort.",151,2,0,,11.5,11.58,0.08,5,5,2,false,false
lfi:aleatoire:0,lfi,lfi,existing,aleatoire,0,6,2026-07-01,pre_campaign,media_short_video,Une minute sur les loyers,media,,3,short_video_refuse_reduction,Refuser la réponse en soixante secondes et inviter l’étudiante à un échange filmé plus long,PRÉSIDENTIEL,long_term_strategy,housing_long_form_exchange,Le refus du slogan devient un entretien,"Le premier extrait paraît défensif, puis l’échange complet montre une écoute réelle et plusieurs arbitrages. Vous renoncez à la viralité immédiate pour une séquence plus cohérente avec votre méthode.",199,3,0,,11.58,11.72,0.13,5,5,3,false,false
lfi:aleatoire:0,lfi,lfi,existing,aleatoire,0,7,2026-07-14,pre_campaign,campaign_weather_disaster,La pluie emporte la tournée,campaign,notable,3,weather_silent_safety,Suspendre toute communication jusqu’à la réouverture officielle des routes,PRUDENT,silence,weather_silence_respected,Le silence laisse travailler les secours,"Aucun message de campagne ne concurrence les consignes locales. La retenue protège votre image institutionnelle, mais la journée disparaît entièrement du récit national.",169,2,0,,11.72,11.82,0.11,5,4,2,false,false
lfi:aleatoire:0,lfi,lfi,existing,aleatoire,0,8,2026-07-27,pre_campaign,program_family_reunification,Le regroupement familial en question,program,major,3,family_reunification_faster_processing,Maintenir les délais actuels et accélérer l’instruction des dossiers,TECHNIQUE,policy_commitment,family_reunification_processing_speed,"Le même cadre, appliqué plus vite",La mesure administrative est difficile à contester sur le fond et rassure les familles en attente. Elle ne répond pas à la demande de fermeté exprimée par une partie de votre électorat.,185,2,0,strategic_repositioning,11.82,15.7,3.88,4,1,5,false,false
lfi:aleatoire:0,lfi,lfi,existing,aleatoire,0,9,2026-08-11,campaign,campaign_citizens_convention,La convention citoyenne réclame une réponse,campaign,major,3,convention_commit_three,Accepter trois propositions chiffrées et expliquer le refus des neuf autres,TRANSPARENT,policy_commitment,convention_three_adopted,Trois propositions entrent au programme,"La convention apprécie la réponse détaillée, y compris les refus. Les trois engagements deviennent vérifiables et pourront être rappelés lors de votre prochain déplacement territorial.",184,2,0,coherent_compromise,15.7,12.29,-3.4,1,2,5,false,false
lfi:aleatoire:0,lfi,lfi,existing,aleatoire,0,10,2026-08-24,campaign,program_energy,Le mix électrique de 2040,program,major,3,energy_nuclear_priority,Lancer dix réacteurs et ralentir les appels d’offres éoliens terrestres contestés localement,OFFENSIF,policy_commitment,energy_nuclear_scale,L’atome devient le pari industriel,La proposition offre un horizon clair à la filière et réduit le conflit autour de l’éolien terrestre. Les délais de construction et l’adaptation climatique des centrales concentrent les critiques écologistes.,208,3,0,initial_position,12.29,12.59,0.29,2,2,5,false,false
