eventId,title,occurrences,dominantChoiceShare,isDominant
party_horizons_founder_blessing,Paul Auriac loue une candidate loyale à la ligne,14,0.929,true
debate_frontrunner_retaliation,La riposte du favori,64,0.922,true
party_horizons_founder_revenge,Le réseau de Paul Auriac s’organise,27,0.889,true
rare_powers_abolition_tested,Un cas concret teste la suppression promise,10,0.8,true
party_renaissance_signature,Le fonds industriel européen se précise,102,0.784,false
party_renaissance_runoff,Le bloc républicain demande des preuves,123,0.772,false
party_ecologistes_electorate,Les locataires redoutent les interdictions,86,0.767,false
party_ps_signature,La garantie jeunesse doit être financée,79,0.759,false
party_lr_program_dilemma,Les économies menacent les services locaux,60,0.75,false
party_reconquete_runoff,La qualification bouleverse la stratégie,51,0.745,false
party_rn_signature,La baisse de TVA doit être ciblée,81,0.741,false
campaign_peripheral_town,La périphérie demande un calendrier,158,0.741,false
party_lr_fronde,Diane Mérande veut négocier à droite,83,0.735,false
party_rn_fronde,Louis Ferran refuse la modération,79,0.734,false
internal_local_sections,Les sections refusent le kit national,458,0.734,false
rare_congress_isolation,Les partis voisins organisent leur propre socle,30,0.733,false
party_lfi_signature,La Sixième République doit prendre forme,85,0.729,false
party_nouvelle_energie_program_dilemma,La baisse de dépense rencontre l’hôpital,80,0.725,false
party_lr_electorate,Les retraités interrogent le financement,94,0.713,false
campaign_market_walkabout,Le marché sous pression,216,0.713,false
party_horizons_electorate,Les retraités modérés parlent des soins,89,0.708,false
program_labor_immigration,"L’immigration de travail, un choix économique assumé ou non",394,0.708,false
party_reconquete_electorate,Les entrepreneurs attendent une ligne économique,85,0.706,false
party_reconquete_signature,Le référendum migratoire doit être cadré,95,0.705,false
media_front_page,La une vous prête un tournant,451,0.703,false
internal_headquarters_move,Le siège coûte trop cher,284,0.697,false
party_horizons_fronde,Théo Lagrive réclame un accord central,56,0.696,false
party_ps_local_asset,Les maires socialistes ouvrent leurs réseaux,69,0.696,false
party_horizons_program_dilemma,La règle de dépense rencontre les communes,42,0.69,false
party_horizons_passion_test,« Vous nous parlez de compétence. Parlez-nous d’envie. »,16,0.688,false
campaign_citizens_convention,La convention citoyenne réclame une réponse,149,0.685,false
party_renaissance_program_dilemma,La réforme des retraites revient,79,0.684,false
